score,NumberOfInstances,NumberOfFeatures,NumberOfClasses,PercentageOfNumericAtts,PercentageOfNominalAtts,PercentageOfBinaryAtts,PercentageOfMissingValues,ClassEntropy,MeanMutualInformation,MeanAttributeEntropy,MeanSkewnessOfNumericAtts,MeanKurtosisOfNumericAtts,MeanStdDevOfNumericAtts,NumberOfInstancesWithMissingValues,Dimensionality,EquivalentNumberOfAtts,IncompleteInstanceCount,MajorityClassSize,MinorityClassSize,MaxNominalAttDistinctValues,MeanNominalAttDistinctValues,MeanMeansOfNumericAtts,NegativePercentage,PositivePercentage,NoiseToSignalRatio
0.502000000000000,500,8,2,0.875,0.0,0.0,0.0,0.9999884584088952,-1.0,-1.0,-0.11779390987299174,0.45126296179550895,14.932101989140966,0,0.016,-1.0,0.0,251,249,-1.0,-1.0,24.353844274285713,0.502,0.498,-1.0
0.393443000000000,61,3,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.9982545693874832,0.07009594143199266,0.747394446244039,0.05127328929235196,-0.030424962717045645,65.41168492395059,0,0.04918032786885246,14.241260606450282,0.0,32,29,2.0,2.0,574.7540983606557,0.5245901639344263,0.47540983606557374,9.66244965079988
0.708000000000000,250,26,2,0.9615384615384616,0.0,0.0,0.0,0.999953833266239,-1.0,-1.0,-0.018463151067900245,-1.2265425430810868,1.000000032246184,0,0.104,-1.0,0.0,126,124,-1.0,-1.0,0.000000008800000,0.504,0.496,-1.0
0.710000000000000,100,26,2,0.9615384615384616,0.0,0.0,0.0,0.9858150371789198,-1.0,-1.0,0.002965854150813484,-1.1505062009787947,1.0000000310584394,0,0.26,-1.0,0.0,57,43,-1.0,-1.0,0.000000002800000,0.57,0.43,-1.0
0.942925000000000,841,71,2,0.9859154929577465,0.0,0.0,0.0,0.9558465023124381,-1.0,-1.0,1.1120512151150734,2.3316539512158543,5.3565260839463535,0,0.08442330558858502,-1.0,0.0,524,317,-1.0,-1.0,10.12524205877357,0.6230677764565993,0.3769322235434007,-1.0
0.648000000000000,500,26,2,0.9615384615384616,0.0,0.0,0.0,0.9966619137320385,-1.0,-1.0,0.00556101877783185,-1.1870806520059793,1.0000000313988382,0,0.052,-1.0,0.0,267,233,-1.0,-1.0,0.000000001200000,0.534,0.466,-1.0
0.335910000000000,9961,15,2,0.9333333333333333,0.0,0.0,0.0,0.6391484789513524,-1.0,-1.0,0.10981464634341344,-0.03806676602022337,1.7055517441171655,0,0.0015058729043268748,-1.0,0.0,8347,1614,-1.0,-1.0,2.0532722924190057,0.8379680754944283,0.16203192450557172,-1.0
0.574468000000000,47,8,2,0.875,0.0,0.0,0.0,0.9839393951635756,-1.0,-1.0,0.48708856821674484,0.3872474438620073,407.44051648408373,0,0.1702127659574468,-1.0,0.0,27,20,-1.0,-1.0,1552.9990881458966,0.574468085106383,0.425531914893617,-1.0
0.646000000000000,500,6,2,0.8333333333333334,0.0,0.0,0.0,0.9980485963165613,-1.0,-1.0,0.4196184078572614,-0.27080516147455447,1.000000031962736,0,0.012,-1.0,0.0,263,237,-1.0,-1.0,-0.000000002800000,0.526,0.474,-1.0
0.624000000000000,250,11,2,0.9090909090909091,0.0,0.0,0.0,0.9970433402104208,-1.0,-1.0,0.29644272510072744,-0.561540333181706,1.000000022763301,0,0.044,-1.0,0.0,133,117,-1.0,-1.0,-0.000000002800000,0.532,0.468,-1.0
0.850480000000000,1458,38,2,0.9736842105263158,0.0,0.0,0.0,0.5353247216329435,-1.0,-1.0,6.4414341091666945,104.64911622340055,1837.829066966851,0,0.02606310013717421,-1.0,0.0,1280,178,-1.0,-1.0,583.4640334779231,0.877914951989026,0.12208504801097393,-1.0
0.651515000000000,66,6,2,0.8333333333333334,0.0,0.0,0.0,1.0,-1.0,-1.0,-0.7277773844812289,8.382742312054893,68.41311524942833,0,0.09090909090909091,-1.0,0.0,33,33,-1.0,-1.0,28.97860606060607,0.5,0.5,-1.0
0.610000000000000,500,26,2,0.9615384615384616,0.0,0.0,0.0,0.9895875212220557,-1.0,-1.0,0.0975189327393359,-0.9611066691045019,1.0000000307290118,0,0.052,-1.0,0.0,280,220,-1.0,-1.0,0.000000004720000,0.56,0.44,-1.0
0.572327000000000,159,16,2,0.9375,0.0,0.0,0.0,0.9244571409964927,-1.0,-1.0,0.619504073252627,0.8624066076836766,72.2423463098677,0,0.10062893081761007,-1.0,0.0,105,54,-1.0,-1.0,558.4927966457022,0.660377358490566,0.33962264150943394,-1.0
0.981673000000000,5620,65,2,0.9846153846153847,0.0,0.0,0.0,0.4746107857650241,-1.0,-1.0,5.2789568064143015,163.11074461233656,3.686292464928633,0,0.011565836298932384,-1.0,0.0,5048,572,-1.0,-1.0,4.911243327402134,0.898220640569395,0.10177935943060498,-1.0
